#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                  mt19937-1G.bin|  4.03e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|   0|   1000000|     100|0.98027699|  PASSED  
# The file file_input_raw was rewound 21 times
      rgb_lagged_sum|   1|   1000000|     100|0.17794428|  PASSED  
# The file file_input_raw was rewound 22 times
      rgb_lagged_sum|   2|   1000000|     100|0.29470311|  PASSED  
# The file file_input_raw was rewound 24 times
      rgb_lagged_sum|   3|   1000000|     100|0.03982585|  PASSED  
# The file file_input_raw was rewound 26 times
      rgb_lagged_sum|   4|   1000000|     100|0.19713915|  PASSED  
# The file file_input_raw was rewound 28 times
      rgb_lagged_sum|   5|   1000000|     100|0.25060757|  PASSED  
# The file file_input_raw was rewound 31 times
      rgb_lagged_sum|   6|   1000000|     100|0.26268233|  PASSED  
# The file file_input_raw was rewound 34 times
      rgb_lagged_sum|   7|   1000000|     100|0.02251580|  PASSED  
# The file file_input_raw was rewound 38 times
      rgb_lagged_sum|   8|   1000000|     100|0.44674052|  PASSED  
# The file file_input_raw was rewound 42 times
      rgb_lagged_sum|   9|   1000000|     100|0.00243115|   WEAK   
# The file file_input_raw was rewound 46 times
      rgb_lagged_sum|  10|   1000000|     100|0.65763367|  PASSED  
# The file file_input_raw was rewound 51 times
      rgb_lagged_sum|  11|   1000000|     100|0.24590971|  PASSED  
# The file file_input_raw was rewound 56 times
      rgb_lagged_sum|  12|   1000000|     100|0.45707209|  PASSED  
# The file file_input_raw was rewound 62 times
      rgb_lagged_sum|  13|   1000000|     100|0.26245251|  PASSED  
# The file file_input_raw was rewound 68 times
      rgb_lagged_sum|  14|   1000000|     100|0.62670058|  PASSED  
# The file file_input_raw was rewound 74 times
      rgb_lagged_sum|  15|   1000000|     100|0.00003066|   WEAK   
# The file file_input_raw was rewound 81 times
      rgb_lagged_sum|  16|   1000000|     100|0.23280026|  PASSED  
# The file file_input_raw was rewound 88 times
      rgb_lagged_sum|  17|   1000000|     100|0.02112182|  PASSED  
# The file file_input_raw was rewound 96 times
      rgb_lagged_sum|  18|   1000000|     100|0.54351804|  PASSED  
# The file file_input_raw was rewound 104 times
      rgb_lagged_sum|  19|   1000000|     100|0.01307902|  PASSED  
# The file file_input_raw was rewound 112 times
