#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                 rnd-openssl.bin|  4.61e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|   0|   1000000|     100|0.86269619|  PASSED  
# The file file_input_raw was rewound 21 times
      rgb_lagged_sum|   1|   1000000|     100|0.13324482|  PASSED  
# The file file_input_raw was rewound 22 times
      rgb_lagged_sum|   2|   1000000|     100|0.86256144|  PASSED  
# The file file_input_raw was rewound 24 times
      rgb_lagged_sum|   3|   1000000|     100|0.00729132|  PASSED  
# The file file_input_raw was rewound 26 times
      rgb_lagged_sum|   4|   1000000|     100|0.21963081|  PASSED  
# The file file_input_raw was rewound 28 times
      rgb_lagged_sum|   5|   1000000|     100|0.39729105|  PASSED  
# The file file_input_raw was rewound 31 times
      rgb_lagged_sum|   6|   1000000|     100|0.04083160|  PASSED  
# The file file_input_raw was rewound 34 times
      rgb_lagged_sum|   7|   1000000|     100|0.00499539|   WEAK   
# The file file_input_raw was rewound 38 times
      rgb_lagged_sum|   8|   1000000|     100|0.32981292|  PASSED  
# The file file_input_raw was rewound 42 times
      rgb_lagged_sum|   9|   1000000|     100|0.13313369|  PASSED  
# The file file_input_raw was rewound 46 times
      rgb_lagged_sum|  10|   1000000|     100|0.99399309|  PASSED  
# The file file_input_raw was rewound 51 times
      rgb_lagged_sum|  11|   1000000|     100|0.20459378|  PASSED  
# The file file_input_raw was rewound 56 times
      rgb_lagged_sum|  12|   1000000|     100|0.60801935|  PASSED  
# The file file_input_raw was rewound 62 times
      rgb_lagged_sum|  13|   1000000|     100|0.10590174|  PASSED  
# The file file_input_raw was rewound 68 times
      rgb_lagged_sum|  14|   1000000|     100|0.22351795|  PASSED  
# The file file_input_raw was rewound 74 times
      rgb_lagged_sum|  15|   1000000|     100|0.02055712|  PASSED  
# The file file_input_raw was rewound 81 times
      rgb_lagged_sum|  16|   1000000|     100|0.42292421|  PASSED  
# The file file_input_raw was rewound 88 times
      rgb_lagged_sum|  17|   1000000|     100|0.44256424|  PASSED  
# The file file_input_raw was rewound 96 times
      rgb_lagged_sum|  18|   1000000|     100|0.09511234|  PASSED  
# The file file_input_raw was rewound 104 times
      rgb_lagged_sum|  19|   1000000|     100|0.00763886|  PASSED  
# The file file_input_raw was rewound 112 times
      rgb_lagged_sum|  20|   1000000|     100|0.52647835|  PASSED  
# The file file_input_raw was rewound 121 times
      rgb_lagged_sum|  21|   1000000|     100|0.02300359|  PASSED  
# The file file_input_raw was rewound 130 times
      rgb_lagged_sum|  22|   1000000|     100|0.42237431|  PASSED  
# The file file_input_raw was rewound 140 times
      rgb_lagged_sum|  23|   1000000|     100|0.01869794|  PASSED  
# The file file_input_raw was rewound 150 times
      rgb_lagged_sum|  24|   1000000|     100|0.00008832|   WEAK   
# The file file_input_raw was rewound 160 times
      rgb_lagged_sum|  25|   1000000|     100|0.14148761|  PASSED  
# The file file_input_raw was rewound 171 times
