#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                  secrets-1G.bin|  4.61e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.71206417|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.50025957|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.84826258|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.61909926|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.00001741|   WEAK   
      rgb_lagged_sum|  25|   1000000|     100|0.39351858|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.56523027|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.65527912|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.89564708|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.10009667|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.90760264|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.73002077|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.62938631|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.13463522|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.14203613|  PASSED  
             dab_dct| 256|     50000|       1|0.93694778|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.05526094|  PASSED  
        dab_filltree|  32|  15000000|       1|0.16478339|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.01239292|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.13111635|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.46993116|  PASSED  
